[2026-07-18T15:51:28.476Z] GET https://www.youtube.com/s/_/ytembeds/_/js/k=ytembeds.base.en_US.oj0x9vs_Wf8.es5.O/am=AAAAgA/d=1/br=1/rs=AGKMywHnp_uHpt1xHNppgijvAyyugDexYg/m=root,base → 200 (47ms, 518818B)
[2026-07-18T15:51:28.476Z] GET https://www.youtube.com/s/player/882a803a/player_embed.vflset/es_MX/base.js → 200 (70ms, 1792240B)
[2026-07-18T15:51:28.572Z] GET https://googleads.g.doubleclick.net/pagead/id → 302 (93ms, ?B)
[2026-07-18T15:51:28.572Z] GET https://static.doubleclick.net/instream/ad_status.js → 200 (93ms, 29B)
[2026-07-18T15:51:28.572Z] GET https://www.youtube.com/s/_/ytembeds/_/js/k=ytembeds.base.en_US.oj0x9vs_Wf8.es5.O/am=AAAAgA/d=1/exm=base,root/ed=1/br=1/rs=AGKMywHnp_uHpt1xHNppgijvAyyugDexYg/m=r78Drb → 200 (62ms, 826199B)
[2026-07-18T15:51:28.623Z] POST https://www.youtube.com/api/stats/qoe?cpn=c9ecbJWlNz1iGMyi&el=embedded&ns=yt&fexp=v1%2C24004644%2C27058999%2C34656%2C124674%2C117689%2C9252%2C3479%2C13030%2C23206%2C100702%2C2877%2C9731%2C2497%2C25059%2C4174%2C30447%2C18705%2C21437%2C4571%2C5237%2C7778%2C16088%2C6621%2C2783%2C6629%2C17197%2C9500%2C1840%2C18113%2C27603%2C7915%2C5244%2C452%2C30488%2C5022%2C9970%2C10619%2C4657%2C10579%2C2972%2C16105%2C9181%2C15416%2C82%2C4405%2C12973%2C12582%2C7525%2C6032%2C1168%2C372%2C7758%2C16452%2C173%2C8868%2C3475%2C1290%2C4063%2C1900%2C7967%2C1595%2C927%2C2249%2C115%2C158%2C8116%2C3693%2C6573%2C5017%2C1461%2C756%2C22968%2C2%2C3970%2C586%2C828%2C2199%2C446%2C1204%2C4702%2C845%2C885%2C1310%2C666%2C9%2C611%2C284%2C653%2C2%2C271%2C7618%2C1297%2C3189%2C3099%2C1832%2C11444%2C1160%2C6155%2C317%2C8609&cl=948052483&seq=1&event=streamingstats&docid=m91L5dTdORs&cbrand=apple&cbr=HeadlessChrome&cbrver=145.0.7632.6&c=WEB_EMBEDDED_PLAYER&cver=2.20260717.01.00&cplayer=UNIPLAYER&cos=Macintosh&cosver=10_15_7&cplatform=DESKTOP&vps=0.000:N,0.000:ER&cmt=0.000:0.000,0.000:0.000&error=0.000:embedder.identity.missing.referrer::0.000:0;a6s.0&vis=0.000:0&bh=0.000:0.000&qclc=ChBjOWVjYkpXbE56MWlHTXlpEAE → 204 (321ms, ?B)
[2026-07-18T15:51:28.665Z] GET https://googleads.g.doubleclick.net/pagead/id?slf_rd=1 → 200 (35ms, 100B)
[2026-07-18T15:51:29.075Z] GET https://www.google.com/js/th/BUNmUdaXE22sPOqJdMcvW-7y5cUt1_cD010dA1woXxc.js → 200 (55ms, 62510B)
[2026-07-18T15:51:29.188Z] GET https://www.youtube.com/generate_204?E_vF6w → 204 (9ms, ?B)
[2026-07-18T15:51:29.196Z] POST https://jnn-pa.googleapis.com/$rpc/google.internal.waa.v1.Waa/GenerateIT → 200 (125ms, 102B)
[2026-07-18T15:51:31.819Z] POST https://www.youtube.com/youtubei/v1/log_event?alt=json → 200 (1ms, 28B)
[2026-07-18T15:51:53.787Z] GET http://localhost:8742/index.html → 200 (8ms, 31288B)
[2026-07-18T15:51:53.787Z] POST https://www.youtube.com/youtubei/v1/log_event?alt=json → pending (?ms, ?B)
[2026-07-18T15:51:53.828Z] GET https://fonts.googleapis.com/css2?family=DM+Sans:opsz,wght@9..40,400;9..40,500;9..40,700;9..40,800;9..40,900&family=DM+Mono:wght@400;500&display=swap → 200 (35ms, 5937B)
[2026-07-18T15:51:53.828Z] GET http://localhost:8742/assets/logo-regenera.svg → 200 (36ms, 7821B)
[2026-07-18T15:51:53.828Z] GET http://localhost:8742/assets/hero-regenera.jpg → 200 (36ms, 696223B)
